fecha;casos_total;casos_pcr;casos_test_ac;altas;fallecimientos;ingresos_uci;hospitalizados
21/02/2020;2;0;;;;0;26
22/02/2020;2;0;;;;1;30
23/02/2020;2;0;;;;1;33
24/02/2020;2;0;;;;2;38
25/02/2020;3;0;;;;2;49
26/02/2020;9;1;;;;2;58
27/02/2020;17;6;;;;3;63
28/02/2020;33;15;;;;3;73
29/02/2020;54;27;;;;3;78
01/03/2020;81;38;;;;3;85
02/03/2020;135;63;;;;3;88
03/03/2020;192;105;;;;3;93
04/03/2020;263;151;;;1;5;105
05/03/2020;341;205;;;3;6;117
06/03/2020;532;326;;;5;8;130
07/03/2020;757;535;;;8;8;138
08/03/2020;1080;763;;;17;9;146
09/03/2020;1513;1046;;25;28;87;169
10/03/2020;2277;1566;;140;35;117;202
11/03/2020;3258;2288;;188;48;161;486
12/03/2020;4404;3036;;201;86;217;683
13/03/2020;5876;3922;;200;123;287;2243
14/03/2020;7596;4912;;544;141;317;2596
15/03/2020;9722;5978;;556;292;423;3691
16/03/2020;11451;6907;;575;314;478;4169
17/03/2020;13939;8295;;1086;496;628;5982
18/03/2020;17637;10417;;1160;590;867;6778
19/03/2020;21677;12315;;1210;765;1057;8898
20/03/2020;26166;14638;;1542;993;1297;10915
21/03/2020;31680;17190;;2131;1326;1630;13807
22/03/2020;36557;19070;;2672;1672;1816;16425
23/03/2020;41182;20807;;3140;2136;2155;19577
24/03/2020;48828;23978;;3697;2707;2617;23157
25/03/2020;57382;27379;;5054;3303;3155;26859
26/03/2020;66327;30711;;6326;3918;3481;30971
27/03/2020;75486;34463;;8491;4663;4023;35820
28/03/2020;83749;37298;;10896;5502;4353;40181
29/03/2020;90159;38722;;13219;6217;4662;42807
30/03/2020;95961;40314;;14823;6913;4926;45717
31/03/2020;104107;43270;;16926;7733;5233;48144
01/04/2020;111541;45637;;20023;8662;5517;51218
02/04/2020;119096;47985;;23509;9539;5722;53720
03/04/2020;126337;50189;;26540;10384;5919;55670
04/04/2020;133017;52399;;30173;11164;6077;57789
05/04/2020;138587;53713;;33701;11834;6362;58936
06/04/2020;142237;54509;;35723;12462;6443;60069
07/04/2020;147510;56236;;38620;13219;6526;60802
08/04/2020;153082;57839;;43091;13976;6644;61500
09/04/2020;158810;59502;;47116;14757;6810;62606
10/04/2020;163416;60687;;50860;15399;6866;63822
11/04/2020;168024;61733;;54118;15899;6895;64323
12/04/2020;171981;62555;;57026;16505;6914;69868
13/04/2020;175141;62978;;59165;17056;7147;71412
14/04/2020;178348;64047;;61924;17591;7177;71850
15/04/2020;182848;65336;;65682;18276;7269;73013
16/04/2020;187919;82613;1313;69461;18893;7367;73625
17/04/2020;192617;93130;2080;72952;19478;7335;74397
18/04/2020;198337;140399;3867;76169;20043;7548;75519
19/04/2020;202693;184776;9732;78893;20453;7663;76070
20/04/2020;206343;186880;11164;80587;20852;7693;76512
21/04/2020;209964;189657;11839;82514;21282;7700;77103
22/04/2020;213700;191807;13259;85915;21717;7695;77609
23/04/2020;218424;194553;15066;89250;22157;7699;78089
24/04/2020;221916;196529;16455;92355;22524;7779;78545
25/04/2020;225820;198842;17862;95708;22902;7756;78516
26/04/2020;228610;200428;19006;98732;23190;7763;80149
27/04/2020;231236;202028;19970;100875;23521;10371;114080
28/04/2020;234156;203451;21377;102548;23822;10436;114958
29/04/2020;237615;213602;24013;108947;24275;10719;115844
30/04/2020;240743;214835;25908;112050;24543;10775;116660
01/05/2020;243991;216216;27775;114678;24824;10859;117392
02/05/2020;246449;217452;28997;117248;25100;10908;117948
03/05/2020;248028;218382;29646;118902;25264;10973;118495
04/05/2020;249120;218845;30275;121343;25428;10994;118889
05/05/2020;251081;219849;31232;123486;25613;11031;119609
06/05/2020;254050;220693;33357;126002;25857;11082;120466
07/05/2020;256855;221447;35408;128511;26070;11140;121014
